unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
132,151,0,2,5.3,31.1,2.7,0,0,0,58.9,152,H1A
133,14,0,0,7.1,35.7,0,0,0,0,57.2,14,H1A
134,3,0,0,33.3,33.3,33.4,0,0,0,0,3,H1A
135,100,0,0,9,19,4,0,0,0,68,101,H1A
136,16,0,6.3,6.2,6.3,0,0,0,0,81.2,16,H1A
137,14,0,0,21.4,21.4,7.2,0,0,0,50,14,H1A
138,16,0,0,12.5,25,12.5,0,0,0,50,16,H1A
139,15,0,0,6.7,13.3,13.3,0,0,0,66.7,15,H1A
140,47,0,0,4.3,14.9,12.8,0,0,0,68,47,H1A
141,3,0,0,0,0,66.7,0,0,0,33.3,3,H1A
142,38,0,0,0,10.5,13.2,0,0,0,76.3,38,H1A
143,13,0,0,15.4,0,30.8,0,0,0,53.8,14,H1A
144,9,0,0,0,0,11.1,0,0,0,88.9,9,H1A
145,4,0,25,25,50,0,0,0,0,0,5,H1A
146,35,0,2.9,5.7,2.9,14.3,0,0,0,74.2,37,H1A
147,19,0,5.3,0,5.3,0,0,0,0,89.4,19,H1A
148,19,0,5.3,10.5,10.5,5.3,0,0,0,68.4,19,H1A
149,25,0,0,0,0,4,0,0,0,96,26,H1A
150,12,8.3,0,0,0,0,0,0,0,91.7,12,H1A
151,15,0,0,0,33.3,6.7,0,0,0,60,15,H1A
152,32,0,0,0,6.3,0,0,0,0,93.8,33,H1A
153,6,0,0,0,50,0,0,0,0,50,6,H1A
154,6,0,0,0,0,0,0,0,0,100,7,H1A
155,55,0,1.8,1.8,7.3,3.6,0,0,0,85.5,61,H1A
156,54,0,1.9,0,1.9,0,0,3.7,0,92.5,58,H1A
157,1,0,0,0,0,0,0,0,0,100,2,H1A
158,56,0,8.9,1.8,1.8,0,0,0,0,87.5,57,H1A
159,29,0,6.9,0,6.9,0,0,0,0,86.2,31,H1A
160,62,0,8.1,0,4.8,0,0,0,0,87.1,62,H1A
161,16,0,25,0,25,0,0,0,0,50,17,H1A
162,5,100,0,0,0,0,0,0,0,0,5,H1A
163,15,0,13.3,0,26.7,0,0,0,0,60,16,H1A
164,1,100,0,0,0,0,0,0,0,0,1,H1A
167,5,20,60,0,20,0,0,0,0,0,5,H1A
170,8,37.5,62.5,0,0,0,0,0,0,0,8,H1A
171,4,25,75,0,0,0,0,0,0,0,4,H1A
172,9,55.6,44.4,0,0,0,0,0,0,0,9,H1A
173,54,40.7,55.6,0,3.7,0,0,0,0,0,54,H1A
174,19,26.3,63.1,0,5.3,0,0,0,0,5.3,19,H1A
175,3,0,100,0,0,0,0,0,0,0,3,H1A
176,24,25,62.5,0,12.5,0,0,0,0,0,24,H1A
177,7,14.3,85.7,0,0,0,0,0,0,0,7,H1A
178,5,40,60,0,0,0,0,0,0,0,5,H1A
179,17,23.5,76.5,0,0,0,0,0,0,0,17,H1A
180,65,7.7,81.5,1.5,9.3,0,0,0,0,0,65,H1A
181,75,2.7,85.3,4,8,0,0,0,0,0,75,H1A
103,2,0,0,50,50,0,0,0,0,0,2,H1B
104,20,0,5,5,40,0,0,10,0,40,20,H1B
105,20,5,10,0,20,0,5,15,0,45,20,H1B
106,84,0,10.7,1.1,25,0,0,11.9,0,51.3,84,H1B
107,43,2.3,7,4.7,23.3,0,0,7,0,55.7,43,H1B
108,93,1.1,7.5,0,32.3,0,0,4.3,0,54.8,93,H1B
109,90,0,4.4,1.1,33.4,1.1,2.2,0,0,57.8,90,H1B
110,56,8.9,1.7,3.6,35.7,1.8,0,1.8,0,46.5,63,H1B
111,45,2.2,4.4,4.4,48.9,0,2.2,6.7,0,31.2,47,H1B
112,41,0,4.9,2.4,48.8,0,0,4.9,0,39,46,H1B
113,41,0,0,0,68.3,0,0,2.4,0,29.3,44,H1B
114,35,0,8.6,2.9,42.8,5.7,0,8.6,0,31.4,35,H1B
115,77,0,7.8,2.6,39,0,0,3.9,0,46.7,84,H1B
116,217,0.4,1.9,3,52.2,1.5,0,2.3,0.7,38,266,H1B
117,65,0,0,1.5,23.2,1.5,0,4.6,0,69.2,66,H1B
118,47,0,0,4.3,8.4,0,0,6.4,0,80.9,49,H1B
119,7,0,0,0,0,0,0,14.3,0,85.7,7,H1B
120,63,1.6,1.6,4.8,25.4,0,0,6.4,0,60.2,67,H1B
121,66,0,3,0,25.8,0,0,3,0,68.2,69,H1B
122,97,0,2.1,2.1,11.3,0,0,3.1,0,81.4,103,H1B
123,148,0,5.4,0.7,8.1,0,0,4.1,0,81.7,188,H1B
124,220,0,1.4,0.9,9.6,0,0,1.8,0,86.3,224,H1B
125,17,0,5.9,0,11.8,0,0,0,0,82.3,17,H1B
126,16,0,0,0,31.3,0,0,0,0,68.7,16,H1B
127,160,0,0.6,1.2,23.2,0.6,0,0.6,0,73.8,160,H1B
128,157,0,0,5.7,24.8,1.3,0,2.6,0,65.6,159,H1B
129,122,0,0,4.8,38.7,1.6,0,0,0,54.9,124,H1B
130,198,0,0,5.9,47,3,0,0.5,0,43.6,202,H1B
131,1,0,0,0,0,0,0,0,0,100,1,H1B
132,145,0,2.1,11.7,38.6,5.5,0.7,0.7,0,40.7,146,H1B
133,115,0,0.8,6.7,30.3,4.2,0,0,0,58,119,H1B
134,155,0,0.5,8,26.4,10,0,0,0,55.1,201,H1B
135,184,0.4,0.4,5.1,31.5,11.3,0,0.4,0,50.1,257,H1B
136,63,0,1.6,1.6,14.3,14.3,1.6,0,0,66.7,67,H1B
137,54,0,4.8,0,14.3,22.2,0,0,0,58.7,63,H1B
138,123,0,5.7,1.6,13.8,12.2,0,0,0.8,65.9,124,H1B
139,93,1.1,3.2,2.1,9.6,6.4,0,1.1,0,76.5,94,H1B
140,8,0,0,0,11.1,0,0,11.1,0,77.8,9,H1B
141,91,0,2.2,1.1,7.7,6.6,0,0,0,82.4,97,H1B
142,372,0.3,1.6,1.1,64,3.8,0,1.1,0,28.1,374,H1B
143,59,1.7,0,6.8,6.8,3.6,0,1.7,0,79.4,60,H1B
144,170,0,2.3,0,7.7,0.6,0,0.6,0,88.8,178,H1B
145,102,0,2,0,17.7,0,0,1,0,79.3,103,H1B
146,16,0,0,0,0,0,0,0,0,100,16,H1B
147,204,0.5,2,0.5,11.3,3.9,0,0,0,81.8,207,H1B
148,32,3.1,0,0,0,0,0,3.1,0,93.8,33,H1B
149,22,9.1,4.6,0,0,4.6,0,0,0,81.7,22,H1B
150,62,1.6,1.6,1.6,9.7,0,0,0,0,85.5,68,H1B
151,20,0,15,0,30,0,0,0,0,55,20,H1B
152,2,50,0,0,50,0,0,0,0,0,4,H1B
153,159,23.1,30,0.6,40,0,0,1.3,0,5,160,H1B
154,103,32.1,33.9,0,16.5,0.9,0,0.9,0,15.7,109,H1B
155,100,17,29,2,18,0,0,3,0,31,105,H1B
156,153,5.3,37.9,2.6,21.6,0,0,1.3,0,31.3,153,H1B
157,116,3.5,54.3,0.9,24.1,0,0,2.6,0,14.6,117,H1B
158,42,0,35.7,7.1,7.1,2.4,0,2,0,45.3,44,H1B
159,40,7.5,37.5,2.5,7.5,2.5,0,2.5,0,40,40,H1B
160,39,12.8,46.2,0,0,0,0,0,0,41,39,H1B
161,4,0,75,0,0,0,0,0,0,25,4,H1B
